"NGA","PolID","Start.Date","End.Date","HighGods","HighGods.No","MoralisingHighGods","SourceText","Number"
"Cambodian Basin","KhAngkL",1220,1431,"inactive","1",0,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.”","2"
"Cambodian Basin","KhCambd",1432,1593,"inactive","1",0,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.” [740]","2"
"Cambodian Basin","ThAyuth",1594,1767,"active","2",0,"""In practice, this pure form of Theravada was blended with other religious practices, including roles for Hindu gods, notions of supernatural power often borrowed from tantric types of Buddhism, and folk beliefs in spirits – especially in their power to foretell and influence the future.""","3"
"Cambodian Basin","ThRattn",1782,1873,"inactive","1",0,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.” ","2"
"Central Java","IdCJBun",NA,NA,"suspected unknown",NA,NA,"-",NA
"Central Java","IdKalin",NA,NA,"suspected unknown",NA,NA,"-",NA
"Central Java","IdKedir",1049,1222,"inactive","1",0,"Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [530] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [531]","1"
"Central Java","IdMajap",1291,1518,"inactive","1",0,"Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [359] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [360]","1"
"Central Java","IdMatrm",1568,1703,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [373] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"" [374]","2"
"Central Java","IdMedng",732,1019,"inactive","1",0,"-","MS"
"Chuuk Islands","FmTrukE",1775,1885,"active","2",0,"There is clearly a High God, Önulap. 'Önulap is the highest of the gods. He is the father of the gods and human beings. Everything comes from him, including illness and misfortune. Everything is tinien Önulap (fate, messenger of the great spirit). Human beings too belong to Önulap. The Truk people believe that Whites are the first-born, the Blacks, the Kanakas, the younger children of the great spirit. They express this in the following phrase: “ Naun Önulap muänidi re uon, naun /7/ sodubudur kanaka.” Önulap also knows everything that human beings do, since a turn of speech runs: “ Si a fadal le mesen Önulap” (we walk in the presence of the great spirit). The gods and spirits are also subject to Önulap. Whatever they do they do only at his command. Since Önulap stands so high and also does not come down to the uanönu like most of the other gods, his individual worship is rarer. In important matters, for example, in case of war, he is invoked.'[698] It's not very clear whether Önulap himself punished or rewarded mortals, but it is clear that the gods in general actively intervened in human affairs--though possibly not on the basis of moral principles. 'The natives express the relationship of the önu to the human being and vice versa in the following parallelism: Emen a önubodede, a feiot; emen a önumamau a [unknown]au, “when one is obedient to the önu, then he is happy; but when he is rebellious toward the önu, then he is unhappy.” In other words: For one who obeys the spirits, it will go well; for one who disobeys them, it will go badly. Having everything go well is brought about by the protection of the önu; things go badly because of their inflicting punishment on human beings. Thus, everything adverse in the world is punishment for the violation of the commands or prohibitions which the önu, and especially Önulap, have imposed on h human beings. The Truk people also say about disagreeable events: tinien Önulap, that is, decree of the “Great Spirit.” When an önu punishes a human being, the natives express this in the phrase önu a ku, the spirit has bitten. This “bite” manifests itself in various ways: by the swelling of limbs, stiff neck, maimings, epilepsy, sudden death, etc. The “bites” are regularly directed [Page 29] against a person’s life, which accounts for the fact that the natives are concerned about manau, life, more than anything else. But by life they almost exclusively mean manauen inisit, life of the body, inasmuch as, despite their knowledge of the other world, they have no desire whatsoever to go to the other world.'","1"
"Chuuk Islands","FmTrukL",1886,1948,"active","2",0,"There is clearly a High God, Önulap. 'Önulap is the highest of the gods. He is the father of the gods and human beings. Everything comes from him, including illness and misfortune. Everything is tinien Önulap (fate, messenger of the great spirit). Human beings too belong to Önulap. The Truk people believe that Whites are the first-born, the Blacks, the Kanakas, the younger children of the great spirit. They express this in the following phrase: “ Naun Önulap muänidi re uon, naun /7/ sodubudur kanaka.” Önulap also knows everything that human beings do, since a turn of speech runs: “ Si a fadal le mesen Önulap” (we walk in the presence of the great spirit). The gods and spirits are also subject to Önulap. Whatever they do they do only at his command. Since Önulap stands so high and also does not come down to the uanönu like most of the other gods, his individual worship is rarer. In important matters, for example, in case of war, he is invoked.'[918] It's not very clear whether Önulap himself punished or rewarded mortals, but it is clear that the gods in general actively intervened in human affairs--though possibly not on the basis of moral principles. 'The natives express the relationship of the önu to the human being and vice versa in the following parallelism: Emen a önubodede, a feiot; emen a önumamau a [unknown]au, “when one is obedient to the önu, then he is happy; but when he is rebellious toward the önu, then he is unhappy.” In other words: For one who obeys the spirits, it will go well; for one who disobeys them, it will go badly. Having everything go well is brought about by the protection of the önu; things go badly because of their inflicting punishment on human beings. Thus, everything adverse in the world is punishment for the violation of the commands or prohibitions which the önu, and especially Önulap, have imposed on h human beings. The Truk people also say about disagreeable events: tinien Önulap, that is, decree of the “Great Spirit.” When an önu punishes a human being, the natives express this in the phrase önu a ku, the spirit has bitten. This “bite” manifests itself in various ways: by the swelling of limbs, stiff neck, maimings, epilepsy, sudden death, etc. The “bites” are regularly directed [Page 29] against a person’s life, which accounts for the fact that the natives are concerned about manau, life, more than anything else. But by life they almost exclusively mean manauen inisit, life of the body, inasmuch as, despite their knowledge of the other world, they have no desire whatsoever to go to the other world.'[919]","1"
"Cuzco","PeCuzLF",1,199,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeCuzE1",200,499,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeCuzE2",500,649,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeWari*",650,999,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeCuzL1",1000,1249,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeCuzL2",1250,1399,"suspected unknown",NA,NA,"-",NA
"Cuzco","PeInca*",1400,1531,"inactive","1",0,"""I don't think the Incas would imbue Inti with omnipotence, and certainly not omniscience. Supernatural entities in the Andes had great powers, but the most powerful simply had the greatest power to act in their particular domain. For example, stories of the great mountain Pariaqaqa claim that it held the potential to end the universe, but it could not create a new one, nor could it act as a patron for military conquest. The creator Viracocha could make a new universe, but not necessarily provide the warmth, water, and fertility needed to sustain life.""[585]At the major pilgrimage site at Lake Titicaca, ""Inca priests waited for the pilgrims to 'confess,' interrogating them about the faults that they and their communities may have committed in the observance of the Inca state religion and other obligations. Hiding any failures was considered a grave sin, leading to the most terrible punishments for them and their people by the all-powerful and omniscient Sun god."" [586] However, Alan Covey says that the gods mainly punished ""insufficient reverence"", and the (deified) ruler was seen as ""the source of morality and law""[587].","1"
"Deccan","InBritP",NA,NA,NA,NA,NA,"-",NA
"Deccan","InDecNL",-2700,-1201,"suspected unknown",NA,NA,"-",NA
"Deccan","InDecIA",-1200,-301,"suspected unknown",NA,NA,"-",NA
"Deccan","InDecKg",-205,-101,"inactive","1",0,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.” [181]","1"
"Deccan","InSataL",-100,203,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [509] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" ","2"
"Deccan","InVakat",286,335,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [461] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.""","2"
"Deccan","InKadam",451,540,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [384] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [385]","2"
"Deccan","InChaBd",541,756,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [450] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [451]","2"
"Deccan","InRasht",757,973,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [428] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" ","2"
"Deccan","InChaKl",974,1055,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [395] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” ","2"
"Deccan","InHoysa",1192,1253,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [416] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" ","2"
"Deccan","InKampi",1280,1310,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [375] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.""","2"
"Deccan","InVijay",1337,1646,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [65] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [66]","2"
